file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,177,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,178,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,15
style.css,179,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,11
style.css,180,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,17
style.css,181,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,182,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,183,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,184,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,8
style.css,185,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,13
style.css,186,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,20
style.css,187,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,188,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,189,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,14
style.css,190,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,25
style.css,191,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,192,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,193,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,194,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,2
style.css,195,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,2,14
style.css,196,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,0
style.css,197,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,198,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,2
style.css,199,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,2,17
style.css,200,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,0
style.css,201,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,0,0
style.css,202,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,2
style.css,203,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,2,16
style.css,204,css,6c2754c5,Vishal Rana,2025-10-10,18:59:58,-07:00,2025-10-10T18:59:58-07:00,1,0
style.css,205,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,0,0
style.css,206,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,1,26
style.css,207,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,0,4
style.css,208,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,1,23
style.css,209,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,0,0
style.css,210,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,0,0
style.css,211,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,0,36
style.css,212,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,0,5
style.css,213,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,1,46
style.css,214,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,1,40
style.css,215,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,1,60
style.css,216,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,1,56
style.css,217,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,0,0
style.css,218,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,0,0
style.css,219,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,0,4
style.css,220,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,1,32
style.css,221,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,1,23
style.css,222,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,1,8
style.css,223,css,56b67f63,Vishal Rana,2025-10-17,16:15:50,-07:00,2025-10-17T16:15:50-07:00,1,22
